timestamp,ApparentPower,Current,Factor,Power,ReactivePower
1,55,0.25,0.93,51,20
2,52,0.239,1,52,0
3,54,0.247,0.96,52,15
4,40,0.184,1,40,0
5,35,0.158,0.87,30,17
6,35,0.157,0.77,26,22
7,32,0.146,0.9,29,14
8,33,0.149,0.84,28,18
9,31,0.143,0.88,28,15
10,32,0.147,0.79,26,20
11,31,0.143,0.89,28,14
12,31,0.143,0.78,25,20
13,31,0.141,0.88,27,15
14,32,0.144,0.82,26,18
15,33,0.149,0.87,29,16
16,34,0.156,0.75,26,23
17,31,0.139,0.87,27,15
18,31,0.142,0.85,27,17
19,33,0.148,0.82,27,19
20,32,0.145,0.82,26,18
21,32,0.146,0.82,26,18
22,31,0.142,0.91,29,13
23,32,0.145,0.8,26,19
24,32,0.147,0.81,26,19
25,31,0.143,0.84,26,17
26,32,0.146,0.93,30,12
27,34,0.155,0.8,27,21
28,32,0.146,0.79,25,20
29,31,0.142,0.9,28,14
30,31,0.142,0.91,29,13
31,31,0.143,0.79,25,19
32,32,0.144,0.86,27,16
33,32,0.145,0.89,28,15
34,31,0.142,0.85,27,16
35,31,0.143,0.88,28,15
36,31,0.14,0.88,27,15
37,31,0.143,0.9,28,13
38,84,0.384,1,84,0
39,107,0.489,0.99,106,0
40,103,0.466,0.97,100,23
41,101,0.459,0.98,99,19
42,101,0.459,0.99,100,16
43,102,0.462,0.98,100,20
44,103,0.467,0.96,99,28
45,103,0.467,0.97,100,25
46,102,0.464,0.97,99,26
47,101,0.458,0.99,100,0
48,100,0.456,1,100,0
49,101,0.46,0.98,99,21
50,102,0.463,0.98,100,21
51,100,0.456,0.99,99,17
52,101,0.46,0.97,98,26
53,101,0.459,0.97,98,25
54,100,0.456,0.98,98,22
55,99,0.452,1,99,0
56,101,0.461,0.96,98,27
57,100,0.456,0.98,98,20
58,100,0.454,0.99,99,14
59,100,0.455,0.97,97,24
60,99,0.45,0.97,96,23
61,100,0.455,0.98,98,20
62,99,0.452,0.98,97,19
63,99,0.451,0.99,98,16
64,101,0.458,0.96,97,28
65,101,0.461,0.98,99,22
66,101,0.463,0.98,100,20
67,100,0.457,0.99,100,0
68,100,0.459,0.97,98,23
69,46,0.209,1,46,0
70,5,0.022,0.15,1,5
71,5,0.023,0.16,1,5
72,5,0.023,0.14,1,5
73,5,0.023,0.14,1,5
74,5,0.022,0.14,1,5
75,5,0.021,0.15,1,5
76,5,0.023,0.16,1,5
77,5,0.023,0.14,1,5
78,5,0.021,0.13,1,5
79,5,0.023,0.14,1,5
80,5,0.023,0.14,1,5
81,5,0.023,0.16,1,5
82,5,0.023,0.16,1,5
83,5,0.023,0.16,1,5
84,5,0.022,0.16,1,5
85,5,0.022,0.14,1,5
86,5,0.023,0.12,1,5
87,4,0.019,0.14,1,4
88,4,0.02,0.14,1,4
89,4,0.02,0.14,1,4
90,5,0.023,0.12,1,5
91,5,0.022,0.14,1,5
92,5,0.022,0.14,1,5
93,5,0.023,1,5,0
94,86,0.389,0.96,82,24
95,31,0.141,0.84,26,17
96,51,0.231,0.51,26,44
97,30,0.136,0.8,24,18
98,30,0.136,0.77,23,19
99,30,0.135,0.8,24,18
100,33,0.15,0.78,26,21
101,34,0.156,0.72,25,24
102,30,0.135,0.84,25,16
103,32,0.144,0.82,26,18
104,31,0.142,0.83,26,17
105,28,0.128,0.81,23,17
106,30,0.134,0.77,23,19
107,28,0.129,0.77,22,18
108,27,0.124,0.84,23,15
109,42,0.19,0.53,22,36
110,27,0.124,0.76,21,18
111,28,0.126,0.74,21,19
112,29,0.13,0.79,23,17
113,27,0.123,0.77,21,17
114,27,0.122,0.82,22,15
115,28,0.125,0.84,23,15
116,28,0.126,0.8,22,17
117,30,0.134,0.74,22,20
118,58,0.263,1,58,0
119,79,0.359,0.43,34,71
